Video ID,Top_5_Emotions
PWnDS45iDj4,"[('positive', 2862), ('joy', 1802), ('trust', 1278), ('anticipation', 1146), ('negative', 873)]"
PqpCeiYycVM,"[('positive', 5548), ('joy', 4079), ('anticipation', 2175), ('trust', 2160), ('negative', 1769)]"
Pt_5Faa_J-U,"[('positive', 4381), ('joy', 3122), ('trust', 1865), ('anticipation', 1818), ('negative', 1479)]"
QMCR45FyfzU,"[('positive', 2716), ('joy', 1760), ('trust', 1171), ('anticipation', 1059), ('negative', 740)]"
Qc0iJpQcdis,"[('positive', 457), ('joy', 338), ('trust', 179), ('anticipation', 126), ('negative', 123)]"
QvoPw_5Sz8U,"[('positive', 411), ('joy', 282), ('trust', 160), ('anticipation', 128), ('negative', 90)]"
RDn0K9UzCpc,"[('positive', 2838), ('joy', 2192), ('trust', 972), ('anticipation', 910), ('negative', 777)]"
RF-Mqs2qC-M,"[('positive', 18778), ('negative', 12843), ('trust', 12389), ('joy', 11147), ('anticipation', 9915)]"
RNjlfo_8u4s,"[('positive', 2023), ('joy', 1341), ('anticipation', 1014), ('trust', 878), ('negative', 777)]"
RjVfU9WcPxE,"[('positive', 3441), ('joy', 2481), ('trust', 1608), ('anticipation', 1452), ('negative', 1218)]"
S1_L6RGDggk,"[('positive', 1105), ('joy', 730), ('trust', 458), ('anticipation', 423), ('negative', 373)]"
SVO-iq2bjTQ,"[('positive', 2647), ('joy', 2000), ('trust', 917), ('anticipation', 837), ('negative', 552)]"
SrlAlMsdr3g,"[('positive', 7335), ('joy', 5552), ('trust', 3048), ('anticipation', 2854), ('negative', 2276)]"
TPEdTajhR6A,"[('positive', 2345), ('joy', 1767), ('trust', 950), ('anticipation', 823), ('negative', 540)]"
UAUfo6KY1wg,"[('positive', 1261), ('joy', 906), ('trust', 588), ('anticipation', 447), ('negative', 346)]"
UYEWJcmWKGQ,"[('positive', 4007), ('joy', 3362), ('trust', 1330), ('anticipation', 1107), ('surprise', 600)]"
VTPdktgrtF8,"[('positive', 985), ('joy', 658), ('trust', 453), ('anticipation', 421), ('negative', 323)]"
VabOWgtG2D4,"[('positive', 1518), ('joy', 1131), ('trust', 567), ('anticipation', 495), ('negative', 353)]"
VxvfhuxOE1I,"[('positive', 1471), ('joy', 1025), ('trust', 667), ('anticipation', 568), ('negative', 446)]"
VyEf4EBXe8o,"[('positive', 6697), ('negative', 4494), ('joy', 4119), ('anticipation', 3347), ('trust', 3308)]"
VylU-ueLA_g,"[('positive', 392), ('joy', 244), ('trust', 191), ('anticipation', 162), ('negative', 152)]"
X89WJTXA8KQ,"[('positive', 1347), ('joy', 1039), ('trust', 442), ('anticipation', 424), ('surprise', 218)]"
XNrTIQjHuKs,"[('positive', 2712), ('joy', 1813), ('trust', 1024), ('anticipation', 956), ('negative', 848)]"
XxPPdlo72ho,"[('positive', 1088), ('joy', 801), ('trust', 316), ('anticipation', 290), ('surprise', 187)]"
YQC7OtyHhxU,"[('positive', 2905), ('joy', 2187), ('trust', 1136), ('anticipation', 1036), ('negative', 679)]"
_Jqi9k3tXoQ,"[('positive', 738), ('joy', 502), ('trust', 265), ('anticipation', 234), ('negative', 193)]"
_Zr3ObadDnI,"[('positive', 4017), ('joy', 2692), ('trust', 1563), ('anticipation', 1503), ('negative', 1009)]"
aB7JCNRI3rY,"[('positive', 1550), ('joy', 1097), ('trust', 536), ('anticipation', 442), ('surprise', 266)]"
aTSgJgRnqG0,"[('positive', 2316), ('joy', 1668), ('anticipation', 993), ('trust', 783), ('negative', 664)]"
eOfOrQJWeP0,"[('positive', 224), ('joy', 140), ('negative', 106), ('trust', 85), ('anticipation', 84)]"
eyUs2JgrV9E,"[('positive', 7468), ('joy', 5841), ('trust', 3026), ('anticipation', 2655), ('surprise', 1461)]"
fsYZye1Ykao,"[('positive', 1138), ('joy', 825), ('trust', 395), ('negative', 341), ('anticipation', 319)]"
gKUyX7cjum4,"[('positive', 8261), ('joy', 6141), ('trust', 2583), ('anticipation', 2309), ('negative', 1416)]"
gO_gm74yiUY,"[('positive', 6263), ('joy', 4631), ('trust', 2529), ('anticipation', 2289), ('negative', 1730)]"
hJaXjItxL6w,"[('positive', 1380), ('joy', 859), ('trust', 720), ('negative', 702), ('anticipation', 683)]"
haK2TnmVoT0,"[('positive', 3341), ('joy', 2405), ('trust', 1598), ('anticipation', 1318), ('negative', 1145)]"
iY1UnR7z7P0,"[('positive', 1193), ('negative', 967), ('joy', 681), ('anticipation', 662), ('trust', 647)]"
jOzaz27K48E,"[('positive', 2132), ('joy', 1310), ('trust', 892), ('anticipation', 806), ('negative', 716)]"
jY3P-f6q-ZI,"[('positive', 1465), ('joy', 1045), ('trust', 529), ('anticipation', 446), ('negative', 288)]"
jwfI8BlFwMw,"[('positive', 2374), ('joy', 1517), ('negative', 1380), ('trust', 1081), ('anticipation', 1028)]"
kavjzsRtuuA,"[('positive', 1137), ('joy', 783), ('trust', 424), ('anticipation', 353), ('negative', 232)]"
l2mtebeR3rA,"[('positive', 12611), ('joy', 9039), ('trust', 5386), ('anticipation', 4716), ('negative', 3592)]"
n50DZvVAulM,"[('positive', 4901), ('joy', 3507), ('trust', 2072), ('anticipation', 1880), ('negative', 1804)]"
ou3h0twV9TY,"[('positive', 378), ('joy', 252), ('trust', 115), ('negative', 107), ('anticipation', 101)]"
pJ8hLOkhl7M,"[('positive', 638), ('joy', 377), ('anticipation', 273), ('trust', 271), ('negative', 258)]"
qNthtD7KmiA,"[('positive', 721), ('joy', 510), ('anticipation', 208), ('trust', 205), ('negative', 197)]"
qmHAvgEBnsk,"[('positive', 1730), ('joy', 996), ('trust', 796), ('anticipation', 615), ('negative', 489)]"
rHyIOIstYRA,"[('positive', 5047), ('joy', 3355), ('negative', 1882), ('trust', 1810), ('anticipation', 1630)]"
sQTGkLW6fwg,"[('positive', 479), ('joy', 326), ('trust', 303), ('negative', 197), ('anticipation', 188)]"
uXYyyhUcFg4,"[('positive', 4436), ('joy', 2954), ('trust', 1837), ('anticipation', 1466), ('negative', 1167)]"
uZDNGVmHxn4,"[('positive', 1867), ('joy', 1247), ('trust', 820), ('anticipation', 764), ('negative', 620)]"
ua0-5FZ2Eww,"[('positive', 3417), ('joy', 2132), ('trust', 1873), ('anticipation', 1592), ('negative', 1246)]"
v293iGJ2PVY,"[('positive', 1557), ('joy', 1167), ('trust', 559), ('anticipation', 489), ('negative', 395)]"
vDD1lhHkGxk,"[('positive', 711), ('joy', 438), ('anticipation', 291), ('trust', 259), ('negative', 248)]"
vGqYP1sKJ2Y,"[('positive', 1457), ('joy', 974), ('negative', 633), ('anticipation', 501), ('trust', 496)]"
vvrjhuJrFVc,"[('positive', 4109), ('joy', 3285), ('trust', 1301), ('anticipation', 1119), ('surprise', 736)]"
vx09_4cEzlM,"[('positive', 6870), ('joy', 4635), ('trust', 2911), ('negative', 2800), ('anticipation', 2713)]"
w4HmK4JCN2U,"[('positive', 1975), ('joy', 1440), ('trust', 782), ('anticipation', 733), ('surprise', 455)]"
xT8n0uBIURk,"[('positive', 933), ('joy', 639), ('trust', 414), ('anticipation', 397), ('negative', 268)]"
xqv0yo_Elj4,"[('positive', 297), ('joy', 190), ('trust', 98), ('anticipation', 76), ('negative', 61)]"
yKn3Ur6_w3c,"[('positive', 2635), ('joy', 1887), ('trust', 969), ('anticipation', 848), ('negative', 763)]"
yjhibJ-OqxE,"[('positive', 11798), ('joy', 8244), ('trust', 4905), ('anticipation', 4702), ('negative', 3408)]"
zEXXe9Ef_R8,"[('positive', 4880), ('joy', 3414), ('trust', 1974), ('anticipation', 1860), ('negative', 1782)]"
zPUSDU0hrwE,"[('positive', 713), ('joy', 538), ('trust', 241), ('anticipation', 164), ('surprise', 129)]"
za-ogD7nLi8,"[('positive', 2648), ('joy', 1809), ('trust', 1133), ('negative', 948), ('anticipation', 940)]"
zgacuXdzCmw,"[('positive', 10595), ('joy', 7054), ('trust', 6461), ('anticipation', 5811), ('negative', 3018)]"
